playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgRatio,ftRatio,threeRatio,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
vodicka01w,3,0,SEA,WNBA,32,30,817,295,61,115,176,47,36,18,55,96,0.47,0.81,0.34,1,2,2,61,25,2,8,10,3,2,0,2,3,16,7,11,10,2,1,0
vodicka01w,4,0,SEA,WNBA,28,27,709,284,55,88,143,31,20,21,53,101,0.47,0.81,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vodicka01w,5,0,SEA,WNBA,34,34,873,273,65,103,168,55,32,12,73,110,0.39,0.78,0.5,5,8,8,204,49,13,17,30,6,7,7,13,16,47,19,18,11,0,0,0
vodicka01w,6,0,PHO,WNBA,28,25,821,305,60,136,196,63,28,22,58,86,0.49,0.67,0.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vodicka01w,7,0,PHO,WNBA,28,27,736,272,46,141,187,41,28,19,53,89,0.44,0.77,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vodopna01w,6,0,SEA,WNBA,17,0,98,25,3,17,20,10,3,2,8,9,0.36,0.67,0.2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
walkeas01w,10,0,SEA,WNBA,13,0,90,23,6,17,23,4,2,2,7,20,0.25,0.8,0.17,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
walkeay01w,3,0,DET,WNBA,32,0,548,162,56,62,118,17,12,34,29,56,0.38,0.69,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkeay01w,4,0,DET,WNBA,34,1,271,56,34,37,71,10,10,11,19,33,0.34,0.38,0.0,0,4,0,24,5,3,3,6,0,4,1,1,0,5,1,3,3,0,0,0
walkeay01w,5,0,DET,WNBA,18,1,148,18,10,16,26,6,1,4,5,13,0.29,0.33,0.0,0,2,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
walkeay01w,6,2,CHA,WNBA,9,0,92,12,4,14,18,6,2,2,3,11,0.25,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkeay01w,6,1,DET,WNBA,12,11,241,59,16,31,47,13,6,10,16,15,0.48,0.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkeay01w,7,0,CHA,WNBA,25,0,181,46,11,20,31,3,10,10,4,31,0.46,0.57,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkeay01w,8,0,DET,WNBA,2,1,43,7,0,6,6,1,1,2,6,8,0.43,0.33,0.0,1,5,0,9,6,1,4,5,1,0,0,0,2,3,2,3,2,0,0,0
walkede01w,1,0,POR,WNBA,30,1,311,92,29,18,47,19,17,7,35,69,0.4,0.47,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
